,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
dfa exponent beta,-0.13829418594960952,-0.13222669647794608,0.32606143638372503,0.2622454781967377,0.16529740095227702,-0.3222605602268544,-0.40132013227330887,-0.362750406092642,-0.345072461970668,-0.2356777719019919,-0.283026113671275,0.16733251508694794
dfa exponent delta,0.3540824722485191,0.16028643148634744,0.28474775053113116,0.3477685345783579,0.2155987181989828,-0.23134460036291693,-0.34465046526988286,-0.34592865869452427,-0.4151546820439636,-0.26383118027750496,-0.20286098310291859,0.27838771226562475
dfa exponent gamma,-0.2207722964993329,-0.3257860157953174,0.3230396629890064,0.24960623004122395,-0.3093581514002972,-0.22212708199444015,-0.3565076509961397,-0.2957404213225955,-0.3241208244927729,-0.2141723955579059,-0.27553763440860213,-0.1350945843728416
dfa exponent theta,-0.17903725962685624,0.12213672327287026,0.3254087333304658,0.3502661105611839,0.20698790033697137,-0.23804367108973337,-0.18726672679404038,-0.21943818387304978,-0.31966356507740346,-0.19296920248797564,-0.248991935483871,0.31057727399141283
higuchi fractal dim,0.18893269735488114,-0.2565015331204634,-0.21413494984334497,0.1761421768898146,0.2697382885689311,-0.2874052448662756,0.19984398452796467,0.4142229385503553,0.27214464690337953,-0.23185011709601872,-0.2698732718894009,-0.23896698678625994
hjorth activity,0.18820687062666416,-0.16067081141796938,0.3384627943956506,0.2678713311681541,0.23135575733650507,-0.1311103842248362,0.1798019803145548,-0.13130028582902015,-0.14167537554163162,-0.15932613129863263,-0.3105798771121352,0.08999050276608372
hjorth complexity,-0.16514977489363794,0.20756516307584558,0.19257157489863239,-0.24998465064468242,-0.25956186745928134,0.19278716696909742,-0.15803180328274316,-0.3586456982694486,-0.2667808262509857,0.16360706101583944,0.2497119815668203,0.2212639370617845
hjorth mobility,0.2575233231713862,0.20083851427246172,-0.40774601478976064,-0.2357812639948736,0.3135246761722382,0.17757574321346908,-0.18381038115723677,0.33122222084946334,0.2805807028590223,-0.15670720958928258,0.1435771889400922,-0.28457894277035933
katz fractal dim,0.25028925011349024,-0.15185409673639122,0.24275718743812033,0.2713528007199722,0.2621122856530149,-0.1760394901520563,0.21366936707517914,0.10017501669118568,0.17768600245676375,-0.2278713706529677,-0.35171850998463905,-0.1899692016198838
kurtosis ampl alpha,-0.1147773999553792,0.11706771292460598,-0.2660369296710331,0.37269383832615743,0.27211194510567327,0.14244339861230765,-0.22939093924258447,0.1703579657908173,0.23464826684979087,-0.22162624965374833,0.15533794162826423,-0.2542999560831417
kurtosis ampl beta,0.24053897773110877,0.2321654786996495,-0.28740691111848365,0.3255426311352288,0.20171030229251283,0.18727176663386133,-0.2919171919083721,-0.26496770377693707,0.2338927991522706,-0.3105184961345723,0.1797715053763441,0.39142603796534936
kurtosis ampl delta,-0.19394090177957832,-0.3313835485495618,0.31252389157538535,0.3077820908129101,0.25312269281173616,-0.282746116729204,0.1933393340587023,-0.24013799878510472,-0.26486697475060106,-0.23270630303946013,-0.28984254992319514,0.3242656976854745
kurtosis ampl gamma,0.3042181760200122,0.20919877778523882,0.28735856274416816,-0.26542421126578913,0.20900803355973066,0.34734429873779116,-0.24698469862992511,-0.19085632265020017,0.2754435225158846,-0.2921860441691219,-0.19311635944700464,-0.23299341672895743
kurtosis ampl theta,-0.14156040622658594,-0.3397678358080653,-0.199944701981746,0.33679433707806145,0.31940831418352456,-0.2075956391020601,0.1394299430846681,0.2228126062553069,0.14474761084488066,-0.1867744453677822,-0.26968125960061445,-0.1705248683159517
life time alpha,-0.30596016016773303,-0.37827790020743807,0.32826128741508026,0.18328402001314614,-0.19357926607090675,-0.17659354863322158,0.11667566764237766,-0.20082849625746751,-0.29838831528582216,-0.1873788119160938,-0.2452026354179477,0.2636109863344027
life time beta,0.21264303714330263,0.27314998890883846,-0.26717311646744735,0.2884826400365268,0.40566800279534526,-0.17508248004822538,-0.32434443465366164,0.3073998061209913,0.2629783055068004,-0.2805016242350986,-0.20142089093701995,-0.39285292312073744
life time delta,0.368555041334415,0.34908122654500146,0.18902023778808488,0.44189286651803394,-0.24925283893951178,0.25222264230461733,-0.41249114893217065,0.27663753817732273,-0.25048790624113226,-0.31899971102169067,0.33964981341027584,-0.3467735310742183
life time gamma,0.3437031500350162,0.31451887904964937,-0.1790823784646082,-0.1956939080685036,0.31804472425816205,0.24592641220813014,-0.32969696991065606,-0.17952430718739634,0.23376688786935057,-0.23829669361134195,-0.17900345622119818,-0.25906430143248826
life time theta,-0.20470733158146362,0.3107231272248827,0.40257273873800214,0.26956160986360206,0.23556312559323528,-0.24512050896279886,-0.1800660067173662,-0.264665516697929,-0.1981339948029786,-0.24122083581821707,-0.17708333333333334,0.2826112980693782
lyapunov exponent,0.21847384519331242,-0.2928494604044627,0.19585926435208634,0.28426955731802217,0.3534475589870182,-0.17883496703429924,0.2771797181514456,0.3952858815991808,0.30820563833167963,-0.1764498501674599,-0.29397081413210446,-0.36767686470109395
