id,Tap_simon_congruent,betw cen e-icoh delta_POz,betw cen e-plv delta_C3,betw cen e-wpli gamma_P7,betw cen s-lps alpha_LInferiorTemporalGyrus,clust coef e-icoh theta_O1,clust coef e-plv alpha_AF8,clust coef e-plv delta_F2,clust coef e-plv theta_Fp1,dfa exponent theta_CP1,kurtosis ampl alpha_F1,microstate A_Group1_Map1_SegDensity,mod index delta-alpha_F3,node str e-icoh theta_C5,node str e-plv alpha_AF8,node str e-plv delta_F2,node str e-plv theta_Fp1,node str e-wpli alpha_AF8,node str e-wpli theta_CP3
sub-010141,386.0,24,12,22,0,0.0569350609235736,0.177490714159314,0.175908184201579,0.145522022160105,0.572405800801476,2.9617286276285,1.9733,0.0038534818802833,3.75385464726423,11.7756540077018,12.2422829336696,9.71016308449564,1.60237723325662,0.819405665707993
sub-010142,371.0,4,0,180,0,0.069791782813374,0.220477019135245,0.225983989362856,0.15958992702112,0.561979168924179,3.29301790268711,1.438,0.0043781970775953,3.70333951614043,14.3458902068003,15.1127201493446,9.95911425376461,1.24311603531875,1.25592698617064
sub-010150,365.0,8,10,0,190,0.0596324404502713,0.20873186103023,0.190874350403552,0.171663046492529,0.556021153752042,2.99982440309757,1.607,0.0042488807354568,3.68110803649856,14.4141719236223,14.3736529217331,12.2970723507528,2.87351356815893,0.699346271982365
sub-010155,482.0689655,48,58,8,32,0.0597212661955685,0.216160806859228,0.17385341460979,0.177338612642942,0.730041521990119,2.86399825962946,1.1537,0.0038005031247493,4.10261419581126,13.2846801936605,12.719347077733,12.2091593269351,1.98963953935021,1.34553846374317
sub-010157,383.7931034,8,0,2,78,0.0619369243846924,0.243182649699733,0.195697631084051,0.151276049659071,0.713938262345763,2.87407111591277,0.8111,0.0028582276815736,4.28954589700383,16.6248022754472,14.3792545899363,9.53446281544752,2.52749183609998,1.12542620104538
sub-010162,456.2068966,86,0,0,40,0.0737196545101704,0.232426848578857,0.175405341750291,0.17144109822326,0.776703762608331,2.70281419487906,1.5903,0.0027190465329167,4.20511147189649,15.5941867151877,12.5413096735116,11.5456557594297,2.31473703507442,1.82131529965884
sub-010163,603.1034483,8,28,2,2,0.0608910237332442,0.25016265819015,0.218375096553495,0.1867401089569,0.756549265266786,2.80352164789189,1.8766,0.0032146946773744,3.56523256310654,17.2205115265131,14.7668687695161,12.5823478891415,3.27360571024016,0.982058637459839
sub-010164,430.0,8,10,12,78,0.0616299958688952,0.187676884313707,0.211031690216504,0.158506388228699,0.776185744000735,3.36961807342154,1.3241,0.0040828453981218,3.96651387847686,12.3894677609878,14.4944167094769,10.7549151795592,1.81922322052313,0.882150540586632
sub-010165,530.3571429,100,46,0,1106,0.0919402302797717,0.240697046931113,0.168611422189422,0.166623165818133,0.720973377077565,3.08981021490523,1.7197,0.0037325597416704,5.06037714299232,16.6556188869129,12.2601823270005,10.9861801792613,4.01115352204817,2.09376556887115
sub-010166,476.0,0,106,88,0,0.0620160199323766,0.236416981865117,0.233624858921564,0.235912201860247,0.630040507909712,3.30315632535558,1.9277,0.0035351032186684,4.65745525344215,16.4632698999843,16.1504876700557,16.5233540797529,1.82479535780084,0.801557520874656
